title,authors,publisher,subject,categories,maturityRating,page_count,average_rating,ratings_count,published_date,description,publish_year,page_count_scaled,publish_year_scaled,cluster_11,cluster_12,cluster
Bombay Anna,Susan Morgan,Univ of California Press,biography,Biography & Autobiography,NOT_MATURE,296,0.0,0,2008-07-07,"""Anna Leonowens has been a historical puzzle. Susan Morgan establishes a solid ground for our understanding of this intriguing writer who became famous in our time thanks to a Broadway musical. Her life and contributions as a writer, a humanist, and a 19th century feminist were far richer beyond being the 'I' with the King.""—Thongchai Winichakul, author of Siam Mapped: A History of the Geo-Body of a Nation ""With extraordinary detective work, Susan Morgan uncovers the real tale of a brilliant and dynamic traveler who cut ties to her past history and fabricated the story of her life that has found its way into legend. In lovely and graceful prose, she uses this story to help us understand patterns of national and international life.""—Allan M. Winkler, author of Franklin D. Roosevelt and the Making of Modern America ""With sensitive writing and meticulous research, Bombay Anna offers the first comprehensive biography of Anna Leonowens, the 'I' in The King and I, which gave my father, Yul Brynner, his signature role. The details of her self-invention are only part of the revelation Susan Morgan provides; she also paints a masterful portrait of the Britain's Raj and its colonial hegemony in Southeast Asia. It is a fascinating read."" —Prof. Rock Brynner, author of Yul: The Man Who Would Be King",2008,0.1156093489148581,0.7671232876712324,2,2,4
Joe DiMaggio,Richard Ben Cramer,Unknown,biography,Biography & Autobiography,NOT_MATURE,606,0.0,0,2000-01-01,"A chronicle of the complex, inspiring, and sometimes tragic life of one of the century's great sports stars also examines the influence of the media and the nature of celebrity in American society.",2000,0.24499165275459098,0.6575342465753415,2,2,4
Freedom in Exile,Dalai Lama XIV Bstan-ʼdzin-rgya-mtsho,HarperCollins Publishers,biography,Biography & Autobiography,NOT_MATURE,328,0.0,0,1990-01-01,The autobiography of the Dalai Lama who won the 1989 Nobel Peace Prize.,1990,0.12896494156928215,0.5205479452054789,2,2,4
The Immortal Count,Arthur Lennig,Unknown,biography,Biography & Autobiography,NOT_MATURE,614,0.0,0,2003-01-01,A biography of the actor who gained fame playing Count Dracula in the 1931 classic film.,2003,0.24833055091819703,0.6986301369862993,2,2,4
Iconoclast,Thomas Neville Bonner,JHU Press,biography,Biography & Autobiography,NOT_MATURE,430,0.0,0,2002-12-23,"Abraham Flexner was one of the most influential figures in 20th-century American education. This biography demonstrates his pervasive influence on education, from his early work in experimental primary schools to the founding of the prestigious Institute for Advanced Study at Princeton.",2002,0.17153589315525877,0.6849315068493134,2,2,4
Meet the Beatles,Steven D. Stark,Harper Collins,biography,Art,NOT_MATURE,356,0.0,0,2005-05-31,"""From Liverpool and Hamburg to Ed Sullivan and Shea Stadium, it's all here - from the improbable decision to fire their original drummer and bring Ringo into the band to why they broke up and who was responsible.""--BOOK JACKET.",2005,0.1406510851419032,0.7260273972602711,2,11,4
Medieval Lives,Norman F. Cantor,Unknown,biography,Biography & Autobiography,NOT_MATURE,232,0.0,0,1994-01-01,A fascinating look at life in the Middle Ages that focuses on eight extraordinary medieval men and women through realistically invented conversations between them and their counterparts.,1994,0.08889816360601002,0.5753424657534225,2,2,4
Fair Game,Valerie Plame Wilson,Unknown,biography,Biography & Autobiography,NOT_MATURE,452,4.0,1,2007-01-01,"The woman at the center of the Bush administration's CIA leak scandal describes her role as an undercover CIA operative, her training and experiences, her efforts to protect her children, and her battle to reveal the truth.",2007,0.1807178631051753,0.7534246575342465,2,2,4
A Father's Story,Lionel Dahmer,"Echo Point Books & Media, LLC",biography,Unknown,NOT_MATURE,268,0.0,0,2021-05-28,"Raising a Serial Killer A Father's Search for Answers In July of 1991 the country was shocked by the unfathomable crimes of serial killer Jeffrey Dahmer. But no one was more shocked than his parents. In A Father's Story, the reader is witness to the incremental unraveling of a parent's image of their child, and the ""thousand different reactions"" that follow. In his attempt to understand the nature of his son's psychosis, Lionel Dahmer methodically scrutinizes every possible contributing factor to his son's madness. His desperation is palpable as he searches for clues in the emotional, psychological, and genetic landscape of his son's life. Riveting and soul-wrenching, this unprecedented memoir is the confession of a father who must ""confront the saddest truth a human can know-that his child has somehow crossed the line that separates the human from the monstrous."" This book is also available from Echo Point Books in paperback (ISBN 1635615631).",2021,0.10392320534223706,0.9452054794520528,8,11,4
The Truth About Tesla,Christopher Cooper,Unknown,biography,Biography & Autobiography,NOT_MATURE,202,0.0,0,2015-10-09,"The Truth About Tesla is one of the first books to set the record straight, tracing the origin of Tesla's ""genius"" to scientists and ideas that far predated him.",2015,0.07637729549248748,0.8630136986301338,2,2,4
